"ID","Localidad","Lat","Lon","Precip_1h","Precip_24h","Precip_48h","Prob_Max","Pico_Valor","Zona_Llobregat","Timestamp_Captura"
1,"Punto grid",41.2806,1.3658,0,0,2,60,1.2,"DELTA",2026-02-03 14:30:26.256851
2,"Punto grid",41.3206,1.3658,0,0,1.6,53,1,"DELTA",2026-02-03 14:30:26.434969
3,"Punto grid",41.3606,1.3658,0,0,1.9,53,1.1,"DELTA",2026-02-03 14:30:26.596724
4,"Punto grid",41.4006,1.3658,0,0,1.9,53,1.1,"BAJO LLOBREGAT",2026-02-03 14:30:26.758231
5,"Punto grid",41.4406,1.3658,0,0,2.7,55,1.8,"BAJO LLOBREGAT",2026-02-03 14:30:26.919801
6,"Punto grid",41.4806,1.3658,0,0,2.6,55,1.9,"BAJO LLOBREGAT",2026-02-03 14:30:27.080937
7,"Punto grid",41.5206,1.3658,0,0,2.6,55,1.9,"BAJO LLOBREGAT",2026-02-03 14:30:27.241728
8,"Punto grid",41.5606,1.3658,0,0,2.4,55,1.6,"BAJO LLOBREGAT",2026-02-03 14:30:27.406495
9,"Punto grid",41.6006,1.3658,0,0,2,53,1,"BAJO LLOBREGAT",2026-02-03 14:30:27.569902
10,"Punto grid",41.6406,1.3658,0,0,2,53,1,"BAJO LLOBREGAT",2026-02-03 14:30:27.730822
11,"Punto grid",41.6806,1.3658,0,0,1.1,53,0.7,"BAJO LLOBREGAT",2026-02-03 14:30:27.892407
12,"Punto grid",41.7206,1.3658,0,0,1.2,55,0.8,"MEDIO LLOBREGAT",2026-02-03 14:30:28.053707
13,"Punto grid",41.7606,1.3658,0,0,1.2,55,0.8,"MEDIO LLOBREGAT",2026-02-03 14:30:28.21619
14,"Punto grid",41.8006,1.3658,0,0,1.3,55,0.7,"MEDIO LLOBREGAT",2026-02-03 14:30:28.376716
15,"Punto grid",41.8406,1.3658,0,0,1.3,63,0.7,"MEDIO LLOBREGAT",2026-02-03 14:30:28.537315
16,"Punto grid",41.8806,1.3658,1.8,2,3.6,63,1.8,"MEDIO LLOBREGAT",2026-02-03 14:30:28.697435
17,"Punto grid",41.9206,1.3658,3.8,5.2,6.6,63,3.8,"MEDIO LLOBREGAT",2026-02-03 14:30:28.860894
18,"Punto grid",41.9606,1.3658,3.8,5.2,6.6,53,3.8,"MEDIO LLOBREGAT",2026-02-03 14:30:29.020905
19,"Punto grid",42.0006,1.3658,0.6,0.8,1.8,53,0.6,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-03 14:30:29.180758
20,"Punto grid",42.0406,1.3658,0.2,0.4,1.2,53,0.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-03 14:30:29.341559
21,"Punto grid",42.0806,1.3658,0.4,2.9,3.6,65,0.7,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-03 14:30:29.501549
22,"Punto grid",42.1206,1.3658,0.4,0.4,1.5,65,0.9,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-03 14:30:29.662
23,"Punto grid",42.1606,1.3658,0,0,0.9,65,0.7,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-03 14:30:29.822085
24,"Punto grid",42.2006,1.3658,0,0,0.3,58,0.2,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-03 14:30:29.982391
25,"Punto grid",42.2406,1.3658,0,0,0.4,58,0.4,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-03 14:30:30.143119
26,"Punto grid",42.2806,1.3658,0.2,0.2,0.5,58,0.3,"ALTO LLOBREGAT/BERGUEDÀ",2026-02-03 14:30:30.304141
27,"Punto grid",41.2806,1.4058,0,0,2,60,1.2,"DELTA",2026-02-03 14:30:30.464175
